,Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1038,54,51,2017-02-14,32-046,CLE,@,MIN,W (+8),1,39:30,10,14,0.7140000000000001,2,3,0.667,3,6,0.5,1,7,8,14,0,0,6,3,25,23.4,10
1039,55,52,2017-02-15,32-047,CLE,,IND,W (+9),1,32:35,12,17,0.706,4,5,0.8,3,4,0.75,0,5,5,4,1,0,4,2,31,24.0,9
1040,56,53,2017-02-23,32-055,CLE,,NYK,W (+15),1,37:06,7,11,0.636,0,2,0.0,4,6,0.667,0,13,13,15,0,3,6,1,18,22.4,10
1041,58,54,2017-02-27,32-059,CLE,,MIL,W (+7),1,37:11,8,12,0.667,1,2,0.5,7,9,0.778,0,10,10,6,0,0,3,1,24,21.8,8
1042,59,55,2017-03-01,32-061,CLE,@,BOS,L (-4),1,40:02,10,21,0.47600000000000003,3,6,0.5,5,8,0.625,5,8,13,10,1,1,4,3,28,25.5,-3
1043,60,56,2017-03-03,32-063,CLE,@,ATL,W (+5),1,39:10,14,27,0.519,6,10,0.6,4,8,0.5,1,12,13,8,0,0,2,4,38,29.4,5
1044,62,57,2017-03-06,32-066,CLE,,MIA,L (-8),1,38:41,11,22,0.5,2,5,0.4,6,10,0.6,3,14,17,6,1,1,3,2,30,25.8,14
1045,63,58,2017-03-09,32-069,CLE,@,DET,L (-5),1,39:05,12,22,0.545,0,6,0.0,5,8,0.625,4,10,14,10,1,0,3,1,29,27.6,18
1046,64,59,2017-03-11,32-071,CLE,@,ORL,W (+12),1,37:34,8,14,0.5710000000000001,2,5,0.4,6,10,0.6,0,12,12,12,0,1,4,3,24,23.3,12
1047,65,60,2017-03-12,32-072,CLE,@,HOU,L (-5),1,40:10,12,20,0.6,4,11,0.364,2,3,0.667,0,7,7,5,2,0,8,2,30,19.2,-9
1048,66,61,2017-03-14,32-074,CLE,,DET,W (+32),1,28:24,6,12,0.5,0,2,0.0,4,5,0.8,0,11,11,12,0,0,2,0,16,19.3,22
1049,67,62,2017-03-16,32-076,CLE,,UTA,W (+8),1,38:15,13,20,0.65,2,5,0.4,5,10,0.5,0,10,10,6,2,1,6,0,33,26.1,14
1050,69,63,2017-03-19,32-079,CLE,@,LAL,W (+5),1,37:51,13,22,0.591,3,8,0.375,5,8,0.625,0,6,6,7,1,0,3,2,34,26.5,12
1051,70,64,2017-03-22,32-082,CLE,@,DEN,L (-13),1,34:10,8,12,0.667,0,2,0.0,2,4,0.5,2,4,6,5,0,0,4,1,18,13.7,-30
1052,71,65,2017-03-24,32-084,CLE,@,CHO,W (+7),1,39:54,9,14,0.643,0,1,0.0,14,16,0.875,0,9,9,11,1,2,4,2,32,33.0,1
1053,72,66,2017-03-25,32-085,CLE,,WAS,L (-12),1,40:35,10,21,0.47600000000000003,0,4,0.0,4,6,0.667,3,8,11,8,0,1,3,2,24,19.5,-11
1054,73,67,2017-03-27,32-087,CLE,@,SAS,L (-29),1,29:32,7,17,0.41200000000000003,0,3,0.0,3,6,0.5,3,5,8,8,0,0,2,3,17,12.7,-13
